mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	visible	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	1	1	.C.I			C	I		I		I						M	0	0	0, 4, 1		0	0
1	1	1/4	1/4	4/4	1	1	viio6			C	I		viio6		vii	o	6				o	0	0	2, -1, 5		5	2
1	1	3/4	3/4	4/4	1	1	I6			C	I		I6		I		6				M	0	0	4, 1, 0		0	4
2	2	0	0	4/4	1	1	I			C	I		I		I						M	0	0	0, 4, 1		0	0
2	2	1/4	1/4	4/4	1	1	V+65/IV			C	I		V+65/IV		V	+	65		IV		+7	0	0	4, 8, -2, 0		0	4
2	2	1/2	1/2	4/4	1	1	IV			C	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
3	3	0	0	4/4	1	1	ii			C	I		ii		ii						m	0	0	2, -1, 3		2	2
3	3	1/4	1/4	4/4	1	1	IV			C	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
3	3	3/4	3/4	4/4	1	1	V			C	I		V		V						M	0	0	1, 5, 2		1	1
4	4	1/4	1/4	4/4	1	1	V+65			C	I		V+65		V	+	65				+7	0	0	5, 9, -1, 1		1	5
4	4	1/2	1/2	4/4	1	1	I\\			C	I		I		I					\\	M	0	0	0, 4, 1		0	0
5	5	0	0	4/4	1	1	I			C	I		I		I						M	0	0	0, 4, 1		0	0
6	6	0	0	4/4	1	1	V43			C	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
6	6	1/4	1/4	4/4	1	1	V65			C	I		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
7	7	0	0	4/4	1	1	I\\			C	I		I		I					\\	M	0	0	0, 4, 1		0	0
8	8	0	0	4/4	1	1	V43			C	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
8	8	1/4	1/4	4/4	1	1	V65			C	I		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
9	9	0	0	4/4	1	1	viio6/V			C	I		viio6/V		vii	o	6		V		o	0	0	3, 0, 6		6	3
9	9	3/4	3/4	4/4	1	1	V65/V			C	I		V65/V		V		65		V		Mm7	0	0	6, 3, 0, 2		2	6
10	10	0	0	4/4	1	1	V7			C	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
