mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4.0	0	0	4/4	2	1	C.I{	C	I		I		I						{	M	0	0	0, 4, 1		0	0
2	2	4	4	2.0	0	0	4/4	2	1	IV64	C	I		IV64		IV		64					M	0	0	0, -1, 3		-1	0
2	2	6	6	0.5	1/2	1/2	4/4	2	1	I(64)	C	I		I(64)		I			64				M	0	0	0, -1, 3		0	0
2	2	13/2	13/2	1.5	5/8	5/8	4/4	2	1	I	C	I		I		I							M	0	0	0, 4, 1		0	0
3	3	8	8	2.0	0	0	4/4	2	1	V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
3	3	10	10	0.5	1/2	1/2	4/4	2	1	I(94)}	C	I		I(94)		I			94			}	M	0	0	0, -1, 1	2	0	0
3	3	21/2	21/2	1.0	5/8	5/8	4/4	2	1	I|IAC	C	I		I		I					IAC		M	0	0	0, 4, 1		0	0
3	3	23/2	23/2	0.5	7/8	7/8	4/4	2	1	V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	4	12	12	0.5	0	0	4/4	2	1	I(94){	C	I		I(94)		I			94			{	M	0	0	0, -1, 1	2	0	0
4	4	25/2	25/2	3.5	1/8	1/8	4/4	2	1	I	C	I		I		I							M	0	0	0, 4, 1		0	0
5	5	16	16	2.0	0	0	4/4	2	1	IV64	C	I		IV64		IV		64					M	0	0	0, -1, 3		-1	0
5	5	18	18	0.5	1/2	1/2	4/4	2	1	I(64)	C	I		I(64)		I			64				M	0	0	0, -1, 3		0	0
5	5	37/2	37/2	1.5	5/8	5/8	4/4	2	1	I	C	I		I		I							M	0	0	0, 4, 1		0	0
6	6	20	20	2.0	0	0	4/4	2	1	V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	6	22	22	0.5	1/2	1/2	4/4	2	1	I(94)}	C	I		I(94)		I			94			}	M	0	0	0, -1, 1	2	0	0
6	6	45/2	45/2	1.0	5/8	5/8	4/4	2	1	I|IAC	C	I		I		I					IAC		M	0	0	0, 4, 1		0	0
6	6	47/2	47/2	0.5	7/8	7/8	4/4	2	1	V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	7	24	24	2.0	0	0	4/4	2	1	I|IAC{	C	I		I		I					IAC	{	M	0	0	0, 4, 1		0	0
7	7	26	26	2.0	1/2	1/2	4/4	2	1	V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	28	28	1.5	0	0	4/4	2	1	I	C	I		I		I							M	0	0	0, 4, 1		0	0
8	8	59/2	59/2	0.5	3/8	3/8	4/4	2	1	vi6	C	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
8	8	30	30	1.5	1/2	1/2	4/4	2	1	vi	C	I		vi		vi							m	0	0	3, 0, 4		3	3
8	8	63/2	63/2	0.5	7/8	7/8	4/4	2	1	vi6	C	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
9	9	32	32	1.0	0	0	4/4	2	1	V.V65/V	C	V		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
9	9	33	33	0.5	1/4	1/4	4/4	2	1	V	C	V		V		V							M	0	0	1, 5, 2		1	1
9	9	67/2	67/2	0.5	3/8	3/8	4/4	2	1	#viio43/iii	C	V		#viio43/iii		#vii	o	43		iii			o7	0	0	3, 0, 9, 6		9	3
9	9	34	34	2.0	1/2	1/2	4/4	2	1	iii6	C	V		iii6		iii		6					m	0	0	1, 5, 4		4	1
10	10	36	36	1.5	0	0	4/4	2	1	vi	C	V		vi		vi							m	0	0	3, 0, 4		3	3
10	10	75/2	75/2	0.5	3/8	3/8	4/4	2	1	IV6	C	V		IV6		IV		6					M	0	0	3, 0, -1		-1	3
10	10	38	38	1.5	1/2	1/2	4/4	2	1	IV	C	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
10	10	79/2	79/2	0.5	7/8	7/8	4/4	2	1	IV6	C	V		IV6		IV		6					M	0	0	3, 0, -1		-1	3
11	11	40	40	1.0	0	0	4/4	2	1	ii%65/iii	C	V		ii%65/iii		ii	%	65		iii			%7	0	0	3, 0, 4, 6		6	3
11	11	41	41	0.5	1/4	1/4	4/4	2	1	V(6)/iii	C	V		V(6)/iii		V			6	iii			M	0	0	5, 9, 1		5	5
11	11	83/2	83/2	0.5	3/8	3/8	4/4	2	1	viio64/V	C	V		viio64/V		vii	o	64		V			o	0	0	0, 6, 3		6	0
11	11	42	42	2.0	1/2	1/2	4/4	2	1	V6}	C	V		V6		V		6				}	M	0	0	5, 2, 1		1	5
12	12	44	44	1.0	0	0	4/4	2	1	I{	C	V		I		I						{	M	0	0	0, 4, 1		0	0
12	12	45	45	0.5	1/4	1/4	4/4	2	1	V6(+4)	C	V		V6(+4)		V		6	+4				M	0	0	5, 2, 1	0	1	5
12	12	91/2	91/2	0.5	3/8	3/8	4/4	2	1	V43/vi	C	V		V43/vi		V		43		vi			Mm7	0	0	5, 2, 4, 8		4	5
12	12	46	46	1.0	1/2	1/2	4/4	2	1	vi	C	V		vi		vi							m	0	0	3, 0, 4		3	3
12	12	47	47	1.0	3/4	3/4	4/4	2	1	I6	C	V		I6		I		6					M	0	0	4, 1, 0		0	4
13	13	48	48	1.0	0	0	4/4	2	1	ii6	C	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
13	13	49	49	0.5	1/4	1/4	4/4	2	1	V	C	V		V		V							M	0	0	1, 5, 2		1	1
13	13	99/2	99/2	0.5	3/8	3/8	4/4	2	1	V6/vi	C	V		V6/vi		V		6		vi			M	0	0	8, 5, 4		4	8
13	13	50	50	1.0	1/2	1/2	4/4	2	1	vi	C	V		vi		vi							m	0	0	3, 0, 4		3	3
13	13	51	51	1.0	3/4	3/4	4/4	2	1	I6	C	V		I6		I		6					M	0	0	4, 1, 0		0	4
14	14	52	52	1.0	0	0	4/4	2	1	ii6	C	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
14	14	53	53	0.5	1/4	1/4	4/4	2	1	V	C	V		V		V							M	0	0	1, 5, 2		1	1
14	14	107/2	107/2	0.5	3/8	3/8	4/4	2	1	V6/vi	C	V		V6/vi		V		6		vi			M	0	0	8, 5, 4		4	8
14	14	54	54	1.0	1/2	1/2	4/4	2	1	vi|DC}{	C	V		vi		vi					DC	}{	m	0	0	3, 0, 4		3	3
14	14	55	55	1.0	3/4	3/4	4/4	2	1	V2/V	C	V		V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
15	15	56	56	1.0	0	0	4/4	2	1	V6	C	V		V6		V		6					M	0	0	5, 2, 1		1	5
15	15	57	57	1.0	1/4	1/4	4/4	2	1	V65	C	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
15	15	58	58	1.0	1/2	1/2	4/4	2	1	I	C	V		I		I							M	0	0	0, 4, 1		0	0
15	15	59	59	1.0	3/4	3/4	4/4	2	1	V2/V	C	V		V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
16	16	60	60	1.0	0	0	4/4	2	1	V6	C	V		V6		V		6					M	0	0	5, 2, 1		1	5
16	16	61	61	1.0	1/4	1/4	4/4	2	1	V65	C	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
16	16	62	62	2.0	1/2	1/2	4/4	2	1	I|IAC}{	C	V		I		I					IAC	}{	M	0	0	0, 4, 1		0	0
17	17	64	64	1.0	0	0	4/4	2	1	V(9)	C	V		V(9)		V			9				M	0	0	1, 5, 2	3	1	1
17	17	65	65	1.0	1/4	1/4	4/4	2	1	V	C	V		V		V							M	0	0	1, 5, 2		1	1
17	17	66	66	1.0	1/2	1/2	4/4	2	1	I(4)	C	V		I(4)		I			4				M	0	0	0, -1, 1		0	0
17	17	67	67	1.0	3/4	3/4	4/4	2	1	I	C	V		I		I							M	0	0	0, 4, 1		0	0
18	18	68	68	2.0	0	0	4/4	2	1	IV	C	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
18	18	70	70	4.0	1/2	1/2	4/4	2	1	V65	C	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
19	19	74	74	2.0	1/2	1/2	4/4	2	1	I|IAC}{	C	V		I		I					IAC	}{	M	0	0	0, 4, 1		0	0
20	20	76	76	1.5	0	0	4/4	2	1	IV	C	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
20	20	155/2	155/2	0.5	3/8	3/8	4/4	2	1	ii6	C	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
20	20	78	78	1.0	1/2	1/2	4/4	2	1	i64	C	V		i64		i		64					m	0	0	1, 0, -3		0	1
20	20	79	79	1.0	3/4	3/4	4/4	2	1	It6	C	V		It6	It	vii	o	6	b3	V			It	0	0	-4, 0, 6		6	-4
21	21	80	80	0.5	0	0	4/4	2	1	V	C	V		V		V							M	0	0	1, 5, 2		1	1
21	21	161/2	161/2	1.0	1/8	1/8	4/4	2	1	IV	C	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
21	21	163/2	163/2	0.5	3/8	3/8	4/4	2	1	ii6	C	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
21	21	82	82	1.0	1/2	1/2	4/4	2	1	V(64)	C	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
21	21	83	83	1.0	3/4	3/4	4/4	2	1	V	C	V		V		V							M	0	0	1, 5, 2		1	1
22	22	84	84	1.0	0	0	4/4	2	1	I|PAC}{	C	V		I		I					PAC	}{	M	0	0	0, 4, 1		0	0
22	22	85	85	1.0	1/4	1/4	4/4	2	1	I6	C	V		I6		I		6					M	0	0	4, 1, 0		0	4
22	22	86	86	0.5	1/2	1/2	4/4	2	1	I64	C	V		I64		I		64					M	0	0	1, 0, 4		0	1
22	22	173/2	173/2	0.5	5/8	5/8	4/4	2	1	I6	C	V		I6		I		6					M	0	0	4, 1, 0		0	4
22	22	87	87	0.75	3/4	3/4	4/4	2	1	I	C	V		I		I							M	0	0	0, 4, 1		0	0
22	22	351/4	351/4	0.25	15/16	15/16	4/4	2	1	#viio/vi	C	V		#viio/vi		#vii	o			vi			o	0	0	8, 5, 2		8	8
23	23	88	88	0.5	0	0	4/4	2	1	vi	C	V		vi		vi							m	0	0	3, 0, 4		3	3
23	23	177/2	177/2	0.5	1/8	1/8	4/4	2	1	I6	C	V		I6		I		6					M	0	0	4, 1, 0		0	4
23	23	89	89	0.5	1/4	1/4	4/4	2	1	IV	C	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
23	23	179/2	179/2	0.5	3/8	3/8	4/4	2	1	V	C	V		V		V							M	0	0	1, 5, 2		1	1
23	23	90	90	1.0	1/2	1/2	4/4	2	1	I(^7^2)}	C	V		I(^7^2)		I			^7^2			}	M	0	0	0, 2, 1	5	0	0
23	23	91	91	1.0	3/4	3/4	4/4	2	1	I|PAC	C	V		I		I					PAC		M	0	0	0, 4, 1		0	0
24	24	92	92	2.0	0	0	4/4	2	1	I.V7{	C	I		V7		V		7				{	Mm7	0	0	1, 5, 2, -1		1	1
24	24	94	94	2.0	1/2	1/2	4/4	2	1	I64	C	I		I64		I		64					M	0	0	1, 0, 4		0	1
25	25	96	96	2.0	0	0	4/4	2	1	V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
25	25	98	98	0.5	1/2	1/2	4/4	2	1	V(64)}	C	I		V(64)		V			64			}	M	0	0	1, 0, 4		1	1
