mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	1.0	2	2/2	1/4	3/4		1			firstMeasure	2
2	1	1	4.0	2	2/2	1	0						3
3	2	5	4.0	2	2/2	1	0						4
4	3	9	4.0	2	2/2	1	0				line		5
5	4	13	4.0	2	2/2	1	0						6
6	5	17	4.0	2	2/2	1	0						7
7	6	21	4.0	2	2/2	1	0						8
8	7	25	4.0	2	2/2	1	0				line		9
9	8	29	4.0	2	2/2	1	0						10
10	9	33	4.0	2	2/2	1	0						11
11	10	37	4.0	2	2/2	1	0				line		12
12	11	41	4.0	2	2/2	1	0						13
13	12	45	4.0	2	2/2	1	0						14
14	13	49	4.0	2	2/2	1	0						15
15	14	53	4.0	2	2/2	1	0				line		16
16	15	57	4.0	2	2/2	1	0						17
17	16	61	4.0	2	2/2	1	0						18
18	17	65	4.0	2	2/2	1	0				line		19
19	18	69	4.0	2	2/2	1	0						20
20	19	73	4.0	2	2/2	1	0						21
21	20	77	4.0	2	2/2	1	0						22
22	21	81	4.0	2	2/2	1	0				line		23
23	22	85	4.0	2	2/2	1	0						24
24	23	89	4.0	2	2/2	1	0						25
25	24	93	4.0	2	2/2	1	0				line		26
26	25	97	4.0	2	2/2	1	0						27
27	26	101	4.0	2	2/2	1	0						28
28	27	105	4.0	2	2/2	1	0				line		29
29	28	109	4.0	2	2/2	1	0						30
30	29	113	4.0	2	2/2	1	0						31
31	30	117	4.0	2	2/2	1	0						32
32	31	121	4.0	2	2/2	1	0				line		33
33	32	125	4.0	2	2/2	1	0						34
34	33	129	4.0	2	2/2	1	0						35
35	34	133	4.0	2	2/2	1	0				line		36
36	35	137	4.0	2	2/2	1	0						37
37	36	141	4.0	2	2/2	1	0						38
38	37	145	4.0	2	2/2	1	0						39
39	38	149	4.0	2	2/2	1	0				line		40
40	39	153	4.0	2	2/2	1	0						41
41	40	157	4.0	2	2/2	1	0						42
42	41	161	4.0	2	2/2	1	0						43
43	42	165	3.0	2	2/2	3/4	0				line	end	1, 44
44	42	168	1.0	2	2/2	1/4	3/4		1	start-repeat		start	45
45	43	169	4.0	2	2/2	1	0						46
46	44	173	4.0	2	2/2	1	0						47
47	45	177	4.0	2	2/2	1	0				line		48
48	46	181	4.0	2	2/2	1	0						49
49	47	185	4.0	2	2/2	1	0						50
50	48	189	4.0	2	2/2	1	0						51
51	49	193	4.0	2	2/2	1	0				line		52
52	50	197	4.0	2	2/2	1	0						53
53	51	201	4.0	2	2/2	1	0						54
54	52	205	4.0	2	2/2	1	0						55
55	53	209	4.0	2	2/2	1	0				line		56
56	54	213	4.0	2	2/2	1	0						57
57	55	217	4.0	2	2/2	1	0						58
58	56	221	4.0	2	2/2	1	0						59
59	57	225	4.0	2	2/2	1	0				line		60
60	58	229	4.0	2	2/2	1	0						61
61	59	233	4.0	2	2/2	1	0						62
62	60	237	4.0	2	2/2	1	0						63
63	61	241	4.0	2	2/2	1	0				line		64
64	62	245	4.0	2	2/2	1	0						65
65	63	249	4.0	2	2/2	1	0						66
66	64	253	4.0	2	2/2	1	0				line		67
67	65	257	4.0	2	2/2	1	0						68
68	66	261	4.0	2	2/2	1	0						69
69	67	265	4.0	2	2/2	1	0				line		70
70	68	269	4.0	2	2/2	1	0						71
71	69	273	4.0	2	2/2	1	0						72
72	70	277	4.0	2	2/2	1	0				line		73
73	71	281	4.0	2	2/2	1	0						74
74	72	285	4.0	2	2/2	1	0						75
75	73	289	4.0	2	2/2	1	0						76
76	74	293	4.0	2	2/2	1	0				line		77
77	75	297	4.0	2	2/2	1	0						78
78	76	301	4.0	2	2/2	1	0						79
79	77	305	4.0	2	2/2	1	0						80
80	78	309	4.0	2	2/2	1	0				line		81
81	79	313	4.0	2	2/2	1	0						82
82	80	317	4.0	2	2/2	1	0						83
83	81	321	4.0	2	2/2	1	0						84
84	82	325	4.0	2	2/2	1	0				line		85
85	83	329	4.0	2	2/2	1	0						86
86	84	333	4.0	2	2/2	1	0						87
87	85	337	4.0	2	2/2	1	0				line		88
88	86	341	4.0	2	2/2	1	0						89
89	87	345	4.0	2	2/2	1	0						90
90	88	349	4.0	2	2/2	1	0				line		91
91	89	353	4.0	2	2/2	1	0						92
92	90	357	4.0	2	2/2	1	0						93
93	91	361	4.0	2	2/2	1	0				line		94
94	92	365	4.0	2	2/2	1	0						95
95	93	369	4.0	2	2/2	1	0						96
96	94	373	4.0	2	2/2	1	0						97
97	95	377	4.0	2	2/2	1	0				line		98
98	96	381	4.0	2	2/2	1	0						99
99	97	385	4.0	2	2/2	1	0						100
100	98	389	4.0	2	2/2	1	0						101
101	99	393	4.0	2	2/2	1	0				line		102
102	100	397	4.0	2	2/2	1	0						103
103	101	401	4.0	2	2/2	1	0						104
104	102	405	4.0	2	2/2	1	0						105
105	103	409	4.0	2	2/2	1	0						106
106	104	413	4.0	2	2/2	1	0				line		107
107	105	417	4.0	2	2/2	1	0						108
108	106	421	4.0	2	2/2	1	0						109
109	107	425	4.0	2	2/2	1	0						110
110	108	429	3.0	2	2/2	3/4	0				line	end	44, -1
